organization,companyType,invoiceCountAllAccounting,trackerActivityCount,dominantPartNumber,dominantShare,monthlyCadenceShare,modalServiceShare,amountTrend,learnedRatioPoints
samsung electronics romania,SMALL,4,6,CONSULTANCY-MISC-1,0.333,0.000,0.750,MIXED/UNKNOWN,0
selgros cash carry,MANY,84,117,BLUE-IR-OC-5,0.410,0.644,0.238,MIXED/UNKNOWN,0
sevio solutions,SMALL,2,1,RED-PEN-S-B-1,1.000,0.000,1.000,MIXED/UNKNOWN,0
silkweb,MANY,113,127,RED-C-M-MM-16,0.520,0.915,0.333,MIXED/UNKNOWN,0
spektr aps,SMALL,2,1,RED-PEN-B-E-B-5,1.000,0.000,0.500,MIXED/UNKNOWN,0
spring farm,SMALL,3,2,RED-NIS-C-PEN-100,0.500,0.000,0.333,MIXED/UNKNOWN,0
technosoft,SMALL,2,2,RED-PEN-B-E-B-5,0.500,0.000,0.500,MIXED/UNKNOWN,0
telio nederland,STANDARD,6,3,RED-PEN-B-E-B-5,0.333,0.250,0.333,MIXED/UNKNOWN,0
the brief,SMALL,2,2,RED-PEN-B-E-B-5,1.000,0.000,0.500,MIXED/UNKNOWN,0
think huge,SMALL,3,2,RED-PEN-B-I-B-26,0.500,0.000,0.333,MIXED/UNKNOWN,0
ticketing nation,SMALL,2,1,RED-PEN-B-E-B-5,1.000,0.000,0.500,MIXED/UNKNOWN,0
timesafe,STANDARD,7,6,RED-PEN-S-G-2,0.833,0.000,0.333,MIXED/UNKNOWN,0
tmk hydroenergy power,SMALL,2,4,RED-NIS-C-PEN-4,0.500,0.000,0.500,MIXED/UNKNOWN,0
tomis team,SMALL,2,4,RED-NIS-C-PEN-12,0.500,0.000,0.500,MIXED/UNKNOWN,0
totem communication,SMALL,2,1,RED-PEN-B-E-B-8,1.000,0.000,1.000,MIXED/UNKNOWN,0
transcent consulting,SMALL,1,1,RED-PEN-S-B-1,1.000,0.000,1.000,MIXED/UNKNOWN,0
typingdna,STANDARD,8,1,RED-PEN-B-E-B-30,1.000,0.250,0.500,MIXED/UNKNOWN,0
un international computing centre,SMALL,1,1,CYBEREDU-RUN-EX-2,1.000,0.000,0.000,MIXED/UNKNOWN,0
united media services,RECURRENT,58,70,BLUE-MDR-C-100,0.600,0.893,0.724,STABLE,53
united nations development programme,SMALL,1,2,CYBEREDU-RUN-EX-2,1.000,0.000,1.000,MIXED/UNKNOWN,0
universitatea de vest timisoara,SMALL,1,1,CYBEREDU-SM-Y-50-24,1.000,0.000,1.000,MIXED/UNKNOWN,0
valoris center,STANDARD,5,5,RED-VA-I-S-25,1.000,0.000,0.400,MIXED/UNKNOWN,0
vig management service,STANDARD,7,1,RED-PEN-B-E-B-108,1.000,0.000,0.400,MIXED/UNKNOWN,0
volta x solar systems,SMALL,2,1,RED-PEN-B-E-B-5,1.000,0.000,1.000,MIXED/UNKNOWN,0
vonq,STANDARD,5,3,RED-PEN-B-E-B-5,0.667,0.000,0.500,MIXED/UNKNOWN,0
wac malta,SMALL,2,1,RED-PEN-B-E-B-35,1.000,0.000,0.500,MIXED/UNKNOWN,0
waydev,RECURRENT,77,64,BLUE-MDR-C-50,0.922,0.787,0.542,STABLE,58
white image loyalty,STANDARD,6,1,RED-PEN-B-E-B-10,1.000,0.000,0.333,MIXED/UNKNOWN,0
wpcodebox,SMALL,3,1,RED-PEN-B-I-B-1,1.000,0.000,1.000,MIXED/UNKNOWN,0
xoomworks development ro,SMALL,2,1,CYBEREDU-DEV-T-2,1.000,0.000,1.000,MIXED/UNKNOWN,0
zamfirescu racoti vasile partners,RECURRENT,30,36,BLUE-MDR-C-103,1.000,0.931,0.567,STABLE,26
zipper services,MANY,35,21,PHISH-P-L-MM-S-200-12,0.381,0.083,0.240,MIXED/UNKNOWN,0
zitec com,SMALL,2,2,CYBEREDU-UNR,1.000,0.000,0.500,MIXED/UNKNOWN,0
zone consulting it,SMALL,2,2,BLUE-IR-50,0.500,0.000,0.500,MIXED/UNKNOWN,0
