invoiceKey,import,partNumberFinal,notes,companyType,companyInvoiceCount,companyActivityCount,companyDominantPartNumber,companyDominantShare,companyCadenceShare,companyAmountTrend,recommendedAction,confidence,matchMode,source,sourceId,invoiceNumber,organization,issueDate,currency,amountContract,amountLocal,milestone,proposedPartNumber,partNumberTemplate,partNumberValues,catalogStatus,partNumberCandidates,trackerRow,trackerExpectedDate,dateGapDays,proposedContractRef,invoiceServiceText,lineMatches,reason
accounting:BT.BIT 345,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mtc00txrt35dn0duzfz,BT.BIT 345,ALTEX ROMANIA SRL,2022-05-09,RON,2500.00,12367.25,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,26,2022-05-09,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 359,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mx400v3rt35lvcy38tu,BT.BIT 359,ALTEX ROMANIA SRL,2022-06-09,RON,2500.00,12364.00,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,27,2022-06-09,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2.500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2.500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 370,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mzq00w0rt354a9elq0j,BT.BIT 370,ALTEX ROMANIA SRL,2022-07-12,RON,2500.00,12357.50,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,28,2022-07-12,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2.500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2.500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 382,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689n2p00x3rt35eacay642,BT.BIT 382,ALTEX ROMANIA SRL,2022-08-08,RON,2500.00,12302.50,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,29,2022-08-08,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2.500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2.500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 508,no,RED-PEN-B-E-B-15,,SMALL,2,1,RED-PEN-B-E-B-15,1.000,0.000,MIXED/UNKNOWN,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689nvf0186rt357xwfwhz5,BT.BIT 508,AMBER STUDIO S.A.,2023-07-12,RON,3300.00,16335.33,avans,RED-PEN-B-E-B-15,RED-PEN-B-E-B-<limit>,"{""limit"":""15""}",UNIQUE,RED-PEN-B-E-B-15,864,2023-07-12,0,269/05.07.2023,SERVICII CONFORM CONTRACT 269 DIN 05.07.2023 | 3.300 euro+TVA la cursul BNR reprezentand avans 40% | SERVICII CONFORM CONTRACT 269 DIN 05.07.2023 | 3.300 euro+TVA la cursul BNR reprezentand avans 40%,,"CONTRACT; contract, date:0d, amount:0.0%, milestone:avans; company=SMALL; dominant=RED-PEN-B-E-B-15 (100%)"
accounting:BT.BIT 535,no,RED-PEN-B-E-B-15,,SMALL,2,1,RED-PEN-B-E-B-15,1.000,0.000,MIXED/UNKNOWN,REVIEW,HIGH,STORNO_REFERENCE,ron,cms689o1p01ajrt35wmi5v6e0,BT.BIT 535,AMBER STUDIO S.A.,2023-09-15,RON,3300.00,24658.92,storno,RED-PEN-B-E-B-15,RED-PEN-B-E-B-<limit>,"{""limit"":""15""}",UNIQUE,RED-PEN-B-E-B-15,864,2023-07-12,65,269/05.07.2023,SERVICII CONFORM CONTRACT 269 DIN 05.07.2023 | Stornare factura 508/12.07.2023 (3.300 euro+TVA la cursul BNR reprezentand avans 40% ) | SERVICII CONFORM CONTRACT 269 DIN 05.07.2023 | Stornare factura 508/12.07.2023 (3.300 euro+TVA la cursul,,Storno mapped to BT.BIT 508; contract=true; amount=true; gap=65d
accounting:426,no,RED-NIS-C-PEN-200,,SMALL,1,2,RED-NIS-C-PEN-200,1.000,0.000,MIXED/UNKNOWN,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689ncg010wrt356l4x2x5p,426,AMETHYST RADIOTERAPIA ALBA IULIA S.A.,2022-12-14,RON,2950.00,14528.16,,RED-NIS-C-PEN-200,RED-NIS-C-PEN-<limit>,"{""limit"":""200""}",UNIQUE,RED-NIS-C-PEN-200,119,2022-12-14,0,150/28.11.2022,SERVICII CONFORM CONTRACT 150/28.11.2022 | 2.950 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT 150/28.11.2022 | 2.950 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d; company=SMALL; dominant=RED-NIS-C-PEN-200 (100%)"
accounting:B.CYB 30,no,,,UNMATCHED,,,,,,,SKIP_NO_MATCH,NONE,NONE,ron,cms68criy00dxpj389p1tuxvh,B.CYB 30,ANTONIO-DAN MACOVEI,2026-05-18,RON,189.76,988.40,,,,,EMPTY,,,,,,SERVICII | SERVICII,,Organization not found in tracker.
accounting:BT.BIT 710,no,RED-NIS-C-PEN-10,,SMALL,1,2,RED-NIS-C-PEN-10,0.500,0.000,MIXED/UNKNOWN,REVIEW,MEDIUM,CONTRACT,ron,cms689p5b01q0rt35i126bejt,BT.BIT 710,APA SERVICE S.A.,2024-09-06,RON,,49760.00,,RED-NIS-C-PEN-10,RED-NIS-C-PEN-<limit>,"{""limit"":""10""}",UNIQUE,RED-NIS-C-PEN-10 | RED-NIS-C-AUDIT-100,1309,2024-09-06,0,NR. 299/17.6.2024,"CONTRACT PENTRU PRESTAREA DE SERVICII DE AUDIT CALIFICAT | DE SECURITATE CIBERNETICA SI TESTE DE PENETRARE _NR. 299/17.6.2024, Articolul 4.1 | CONTRACT PENTRU PRESTAREA DE SERVICII DE AUDIT CALIFICAT | DE SECURITATE CIBERNETICA SI TESTE DE ",,"CONTRACT; contract, date:0d; company=SMALL; dominant=RED-NIS-C-PEN-10 (50%)"
accounting:BT.BIT 621,no,RED-NIS-C-PEN-100,,SMALL,3,3,RED-NIS-C-PEN-100,0.333,0.000,MIXED/UNKNOWN,REVIEW,MEDIUM,CONTRACT,ron,cms689ol101i7rt357xmnakeq,BT.BIT 621,APAVITAL SA,2024-03-28,RON,,37314.70,,RED-NIS-C-PEN-100,RED-NIS-C-PEN-<limit>,"{""limit"":""100""}",UNIQUE,RED-NIS-C-PEN-100 | RED-NIS-C-AUDIT-100,987,2024-03-28,0,NR. 286/21.02.2024,SERVICII CONFORM articol 3.9 din Contract NR. 286/21.02.2024 | (numar de inregistrare 13352) | SERVICII CONFORM articol 3.9 din Contract NR. 286/21.02.2024 | (numar de inregistrare 13352),,"CONTRACT; contract, date:0d; company=SMALL; dominant=RED-NIS-C-PEN-100 (33%)"
