invoiceKey,truthPartNumber,scorerTopPartNumber,agree,scorerScore,scorerBand,scorerMatchedOn
accounting:BT.BIT 322,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (122d)
accounting:BT.BIT 323,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,33,MEDIUM-ish,amount~final data final (155d)
accounting:BT.BIT 324,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,16,LOW-ish,data final (0d)
accounting:BT.BIT 326,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (150d)
accounting:BT.BIT 327,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,33,MEDIUM-ish,amount~final data final (183d)
accounting:BT.BIT 328,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,46,MEDIUM-ish,amount~final data final (28d)
accounting:BT.BIT 329,PHISH-P-L-MM-S-200-12,PHISH-P-L-MM-S-200-12,yes,38,MEDIUM-ish,amount~final data final (168d) desc~0.20
accounting:BT.BIT 330,RED-PEN-B-E-B-1,RED-PEN-B-E-B-1,yes,15,LOW-ish,data final (17d)
accounting:BT.BIT 334,RED-PEN-B-E-B-1,RED-PEN-B-E-B-1,yes,15,LOW-ish,data final (0d)
accounting:BT.BIT 335,RED-PEN-B-E-B-1,RED-PEN-B-E-B-1,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 338,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (184d)
accounting:BT.BIT 339,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,33,MEDIUM-ish,amount~final data final (217d)
accounting:BT.BIT 340,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,39,MEDIUM-ish,amount~final data final (62d)
accounting:BT.BIT 341,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~total data avans (0d)
accounting:BT.BIT 344,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (217d)
accounting:BT.BIT 345,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,33,MEDIUM-ish,amount~final data final (250d)
accounting:BT.BIT 346,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,39,MEDIUM-ish,amount~final data final (95d)
accounting:BT.BIT 347,CYBEREDU-UNR,CYBEREDU-UNR,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 348,RED-VA-I-B-25,RED-VA-I-B-25,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 350,CYBEREDU-UNR,CYBEREDU-UNR,yes,47,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 353,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 354,RED-VA-I-S-25,RED-VA-I-S-25,yes,45,MEDIUM-ish,amount~avans data final (0d)
accounting:BT.BIT 355,RED-PEN-B-E-B-50,RED-PEN-B-E-B-50,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 356,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (248d)
accounting:BT.BIT 357,RED-PEN-S-G-1,BLUE-MDR-C-60,no,46,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 358,RED-PEN-S-G-1,BLUE-MDR-I,no,48,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 359,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,33,MEDIUM-ish,amount~final data final (281d)
accounting:BT.BIT 360,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,34,MEDIUM-ish,amount~final data final (126d)
accounting:BT.BIT 362,PHISH-P-L-MM-S-200-12,PHISH-P-L-MM-S-200-12,yes,38,MEDIUM-ish,amount~final data final (266d) desc~0.20
accounting:BT.BIT 366,RED-PEN-B-I-B-1,RED-PEN-B-I-B-1,yes,45,MEDIUM-ish,amount~final data final (25d)
accounting:BT.BIT 368,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (281d)
accounting:BT.BIT 369,RED-PEN-S-G-1,BLUE-MDR-C-60,no,39,MEDIUM-ish,amount~final data final (33d)
accounting:BT.BIT 370,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,33,MEDIUM-ish,amount~final data final (314d)
accounting:BT.BIT 371,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,34,MEDIUM-ish,amount~final data final (159d)
accounting:BT.BIT 373,RED-PEN-B-I-B-1,RED-PEN-B-I-B-1,yes,45,MEDIUM-ish,amount~final data final (2d)
accounting:BT.BIT 374,RED-PEN-B-I-B-1,RED-PEN-B-I-B-1,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 378,RED-PEN-B-E-B-50,RED-PEN-B-E-B-50,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 380,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (308d)
accounting:BT.BIT 381,RED-PEN-S-G-1,BLUE-MDR-C-60,no,39,MEDIUM-ish,amount~final data final (60d)
accounting:BT.BIT 382,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,33,MEDIUM-ish,amount~final data final (341d)
accounting:BT.BIT 383,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,34,MEDIUM-ish,amount~final data final (186d)
accounting:BT.BIT 386,RED-PEN-B-I-B-30,RED-PEN-B-I-B-30,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 388,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (340d)
accounting:BT.BIT 389,RED-PEN-S-G-1,BLUE-MDR-C-60,no,39,MEDIUM-ish,amount~final data final (92d)
accounting:BT.BIT 390,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,34,MEDIUM-ish,amount~final data final (218d)
accounting:BT.BIT 392,PHISH-P-L-MM-S-200-12,PHISH-P-L-MM-S-200-12,yes,38,MEDIUM-ish,amount~final data final (358d) desc~0.20
accounting:BT.BIT 398,RED-PEN-S-G-1,RED-C-M-MM-16,no,33,MEDIUM-ish,amount~final data final (364d)
accounting:BT.BIT 399,RED-PEN-S-G-1,BLUE-MDR-C-60,no,39,MEDIUM-ish,amount~final data final (116d)
accounting:BT.BIT 400,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,34,MEDIUM-ish,amount~final data final (242d)
accounting:BT.BIT 402,RED-PEN-B-I-B-30,RED-PEN-B-I-B-30,yes,45,MEDIUM-ish,amount~avans data final (0d)
accounting:410,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:411,RED-PEN-S-G-1,BLUE-MDR-C-60,no,34,MEDIUM-ish,amount~final data final (150d)
accounting:412,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,34,MEDIUM-ish,amount~final data final (276d)
accounting:413,RED-PEN-B-I-BP-150,RED-PEN-B-I-BP-150,yes,16,LOW-ish,data avans (0d)
accounting:414,RED-PEN-S-G-10,RED-PEN-S-G-2,no,45,MEDIUM-ish,amount~total data final (0d)
accounting:416,BLUE-IR-50,BLUE-IR-25,no,45,MEDIUM-ish,amount~final data final (0d)
accounting:417,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:418,RED-PEN-S-G-1,BLUE-MDR-C-60,no,34,MEDIUM-ish,amount~final data final (183d)
accounting:419,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,34,MEDIUM-ish,amount~final data final (309d)
accounting:420,PHISH-P-L-MM-S-200-12,PHISH-P-L-MM-S-200-12,yes,35,MEDIUM-ish,amount~final desc~0.20
accounting:421,RED-C-M-YY-12,RED-C-M-YY-12,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:424,RED-NIS-C-PEN-200,RED-NIS-C-PEN-200,yes,15,LOW-ish,data final (0d)
accounting:425,RED-NIS-C-PEN-200,RED-NIS-C-PEN-200,yes,15,LOW-ish,data final (0d)
accounting:426,RED-NIS-C-PEN-200,RED-NIS-C-PEN-200,yes,15,LOW-ish,data final (0d)
accounting:427,RED-NIS-C-PEN-200,RED-NIS-C-PEN-200,yes,15,LOW-ish,data final (0d)
accounting:433,RED-PEN-S-G-1,RED-PEN-S-G-1,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:440,RED-PEN-B-I-BP-150,RED-PEN-B-I-BP-150,yes,16,LOW-ish,data est. close (20d)
