organization,partNumber,trackerRow,milestone,expectedDate,dateSource,trackerAmount,contractRef,accountingStatus,trackerFacturatFlag,flagDiscrepancy,matchedInvoiceNumber,matchedInvoiceSource,matchedInvoiceDate,dateGapDays
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1395,final,2025-09-05,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 22,ron,2025-09-02,3
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1396,final,2025-10-20,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 49,ron,2025-10-20,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1397,final,2025-11-26,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 76,ron,2025-11-26,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1398,final,2025-12-23,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 103,ron,2025-12-23,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1399,final,2026-01-20,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 130,ron,2026-01-20,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1400,final,2026-02-13,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 158,ron,2026-02-13,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1401,final,2026-03-20,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 165,ron,2026-03-20,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1402,final,2026-04-29,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 194,ron,2026-04-29,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1403,final,2026-05-25,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 223,ron,2026-05-25,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1404,final,2026-06-19,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 252,ron,2026-06-17,2
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1405,final,2026-07-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Nu,TRACKER_FLAG_STALE_NOT_BILLED,BT.R.BIT 281,ron,2026-07-18,13
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1406,final,2026-08-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1407,final,2026-09-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1408,final,2026-10-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1409,final,2026-11-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1410,final,2026-12-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1411,final,2027-01-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1412,final,2027-02-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1413,final,2027-03-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ASSET TOKENIZATION SERVICES OU,RED-PEN-S-WB-1,30,avans,2021-08-16,actual,6188.00,199/02.08.2021,INVOICED_ACCOUNTING,Da,,BT.BIT 106,valuta,2021-08-16,0
