organization,partNumber,trackerRow,milestone,expectedDate,dateSource,trackerAmount,contractRef,accountingStatus,trackerFacturatFlag,flagDiscrepancy,matchedInvoiceNumber,matchedInvoiceSource,matchedInvoiceDate,dateGapDays
G&D META FARM S.R.L,RED-NIS-C-PEN-100,841,avans,2023-05-12,actual,0.00,27/20.04.2023,PAST_UNMATCHED,N/A,,,,,
G&D META FARM S.R.L,RED-NIS-C-AUDIT-100,842,avans,2023-05-12,actual,0.00,27/20.04.2023,PAST_UNMATCHED,N/A,,,,,
G&D META FARM S.R.L,RED-NIS-C-AUDIT-100,842,final,2023-08-31,actual,70.00,27/20.04.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
GRAFTEX PRODCOM SRL,BLUE-MDR-C-6,1382,final,2026-08-05,estimated,1100.00,Contract cadru de prestari servicii nr. 334 din 31.3.2025,UPCOMING,Nu,,,,,
GRAFTEX PRODCOM SRL,BLUE-MDR-C-6,1383,final,2026-09-05,estimated,1100.00,Contract cadru de prestari servicii nr. 334 din 31.3.2025,UPCOMING,Nu,,,,,
GRAFTEX PRODCOM SRL,BLUE-MDR-C-6,1384,final,2026-10-05,estimated,1100.00,Contract cadru de prestari servicii nr. 334 din 31.3.2025,UPCOMING,Nu,,,,,
GRAFTEX PRODCOM SRL,BLUE-MDR-C-6,1385,final,2026-11-05,estimated,1100.00,Contract cadru de prestari servicii nr. 334 din 31.3.2025,UPCOMING,Nu,,,,,
GRAFTEX PRODCOM SRL,BLUE-MDR-C-6,1386,final,2026-12-05,estimated,1100.00,Contract cadru de prestari servicii nr. 334 din 31.3.2025,UPCOMING,Nu,,,,,
GRAFTEX PRODCOM SRL,BLUE-MDR-C-6,1387,final,2027-01-05,estimated,1100.00,Contract cadru de prestari servicii nr. 334 din 31.3.2025,UPCOMING,Nu,,,,,
GRAFTEX PRODCOM SRL,BLUE-MDR-C-6,1388,final,2027-02-05,estimated,1100.00,Contract cadru de prestari servicii nr. 334 din 31.3.2025,UPCOMING,Nu,,,,,
GRAFTEX PRODCOM SRL,BLUE-MDR-C-6,1389,final,2027-03-05,estimated,1100.00,Contract cadru de prestari servicii nr. 334 din 31.3.2025,UPCOMING,Nu,,,,,
